Type,Study,Year,Estimate,Low,High,Weight,estimate_label,Weight_lab,Outcome,Region
Study,Johnston 2014,2014,0.0023170770025279,0.0013431751079890804,0.0032909788970667195,21.47467226687025,0.23 (0.13 to 0.33),21.47,Respiratory ED visits,"Sydney, Australia"
Study,Hutchinson 2018,2018,0.00198026272961797,9.950330853168066e-4,0.0029654923739191336,21.439456661230707,0.2 (0.1 to 0.3),21.44,Respiratory ED visits,"San Diego, California"
Study,Reid 2019,2019,0.00344014267173323,0.0023716526617316045,0.0045086326817348555,21.171945677173714,0.34 (0.24 to 0.45),21.17,Respiratory ED visits,"San Francisco Bay area, USA"
Study,Hahn 2021,2021,0.00392207131532813,0.00198026272961797,0.00586387990103829,17.764139937013812,0.39 (0.2 to 0.59),17.76,Respiratory ED visits,Alaska
Study,Malig 2021,2021,0.00707326660160569,0.005222975757446535,0.008923557445764844,18.149785457711506,0.71 (0.52 to 0.89),18.15,Respiratory ED visits,"San Francisco Bay area, USA"
Pooled,Pooled,2030,0.00363099234976323,0.00192766460756664,0.00533432009195982,100,0.36 (0.19 to 0.53),100,Respiratory ED visits,NA
Study,Delfino 2009,2009,0.00276151670329733,0.0013902905168991344,0.004132742889695526,13.574351713505983,0.28 (0.14 to 0.41),13.57,Respiratory hospitalizations,"Southern California, USA"
Study,Crabbe 2012,2012,0.00344014267173323,-0.0011060947359424825,0.007986380079408942,6.968847627234491,0.34 (-0.11 to 0.8),6.97,Respiratory hospitalizations,"Darwin, Australia"
Study,Gan 2017,2017,0.00506931143155181,0.0024692612590371367,0.007669361604066483,10.892615277265962,0.51 (0.25 to 0.77),10.89,Respiratory hospitalizations,"Washington State, USA"
Study,Aguilera 2021,2021,0.00295588022415444,-3.706861931326408e-4,0.00628244664144152,9.275735520998838,0.3 (-0.04 to 0.63),9.28,Respiratory hospitalizations,"Southern California, USA"
Study,Malig 2021,2021,0.00328893338188582,1.3010426069826053e-18,0.006577866763771638,9.35603582373132,0.33 (0 to 0.66),9.36,Respiratory hospitalizations,"San Francisco Bay area, USA"
Study,Ye 2021,2021,0.00496469398894137,0.004621542379696288,0.005307845598186452,14.899173521855264,0.5 (0.46 to 0.53),14.9,Respiratory hospitalizations,Brazil
Study,Magzamen 2021,2021,-0.00515632360816894,-0.010480511436612626,1.678642202747457e-4,5.812792349085472,-0.52 (-1.05 to 0.02),5.81,Respiratory hospitalizations,"Colorado, USA"
Study,Heaney 2022,2022,7.180948040109393e-4,9.097587214078069e-5,0.0013452137358810979,14.675273246937099,0.07 (0.01 to 0.13),14.68,Respiratory hospitalizations,"California, USA"
Study,Martin 2013,2013,0.0015,7.160000000000001e-4,0.002284,14.500192193547804,0.15 (0.07 to 0.23),14.5,Respiratory hospitalizations,"Sydney area, Australia"
Study,Jiang 2023,2023,0.0626,-0.014623999999999984,0.139824,0.04498272583776177,6.26 (-1.46 to 13.98),0.04,Respiratory hospitalizations,"Washington State, USA"
Pooled,Pooled,2030,0.00253968673165881,8.99401027845974e-4,0.00417997243547164,100,0.25 (0.09 to 0.42),100,Respiratory hospitalizations,NA
